mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,season,year,genres
15335,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,https://www.youtube-nocookie.com/embed/UhJM5rVqaF8?enablejsapi=1&wmode=opaque&autoplay=1,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,劇場版 銀魂 完結篇 万事屋よ永遠なれ,Movie,Manga,1.0,Finished Airing,"Jul 6, 2013",1 hr 50 min,PG-13 - Teens 13 or older,8.9,257916,2148,,,"Action, Comedy, Sci-Fi, "
19,https://myanimelist.net/anime/19/Monster,,Monster,モンスター,TV,Manga,74.0,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",24 min per ep,R+ - Mild Nudity,8.89,1272551,59551,spring,2004.0,"Drama, Mystery, Suspense, "
31043,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,https://www.youtube-nocookie.com/embed/DwmxEAWjTQQ?enablejsapi=1&wmode=opaque&autoplay=1,Boku dake ga Inai Machi,僕だけがいない街,TV,Manga,12.0,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",23 min per ep,R - 17+ (violence & profanity),8.3,2241145,50567,winter,2016.0,"Mystery, Suspense, "
30831,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo,https://www.youtube-nocookie.com/embed/NU87y-38glA?enablejsapi=1&wmode=opaque&autoplay=1,Kono Subarashii Sekai ni Shukufuku wo!,この素晴らしい世界に祝福を！,TV,Light novel,10.0,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",23 min per ep,PG-13 - Teens 13 or older,8.09,2102642,47104,winter,2016.0,"Adventure, Comedy, Fantasy, "
30654,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,https://www.youtube-nocookie.com/embed/tZiHgr0kd7E?enablejsapi=1&wmode=opaque&autoplay=1,Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,TV,Manga,25.0,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",23 min per ep,PG-13 - Teens 13 or older,8.47,1534573,17852,winter,2016.0,"Action, Comedy, "
31859,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,https://www.youtube-nocookie.com/embed/ngLUKREIZMo?enablejsapi=1&wmode=opaque&autoplay=1,Hai to Gensou no Grimgar,灰と幻想のグリムガル,TV,Light novel,12.0,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",24 min per ep,R - 17+ (violence & profanity),7.66,789909,6734,winter,2016.0,"Action, Adventure, Drama, Fantasy, "
31580,https://myanimelist.net/anime/31580/Ajin,https://www.youtube-nocookie.com/embed/V62kcgCXNJU?enablejsapi=1&wmode=opaque&autoplay=1,Ajin,亜人,TV,Manga,13.0,Finished Airing,"Jan 16, 2016 to Apr 9, 2016",24 min per ep,R - 17+ (violence & profanity),7.38,616320,3292,winter,2016.0,"Action, Horror, Mystery, Supernatural, "
31637,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,https://www.youtube-nocookie.com/embed/TrwXsOTWUeU?enablejsapi=1&wmode=opaque&autoplay=1,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",GATE（ゲート）自衛隊　彼の地にて、斯く戦えり　第2クール,TV,Light novel,12.0,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",23 min per ep,R - 17+ (violence & profanity),7.71,592059,1944,winter,2016.0,"Action, Adventure, Fantasy, "
31442,https://myanimelist.net/anime/31442/Musaigen_no_Phantom_World,https://www.youtube-nocookie.com/embed/BQ-Mh5gMPwQ?enablejsapi=1&wmode=opaque&autoplay=1,Musaigen no Phantom World,無彩限のファントム・ワールド,TV,Light novel,13.0,Finished Airing,"Jan 7, 2016 to Mar 31, 2016",24 min per ep,PG-13 - Teens 13 or older,6.85,576704,1377,winter,2016.0,"Action, Comedy, Fantasy, Ecchi, "
9260,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,https://www.youtube-nocookie.com/embed/4lt0rT_nmvg?enablejsapi=1&wmode=opaque&autoplay=1,Kizumonogatari I: Tekketsu-hen,傷物語〈Ⅰ鉄血篇〉,Movie,Light novel,1.0,Finished Airing,"Jan 8, 2016",1 hr 3 min,R - 17+ (violence & profanity),8.36,567989,3887,,,"Action, Mystery, Supernatural, "
