mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
30484,https://myanimelist.net/anime/30484/Steins_Gate_0,https://www.youtube-nocookie.com/embed/NhExBlBnmQI?enablejsapi=1&wmode=opaque&autoplay=1,Steins;Gate 0,シュタインズ・ゲート ゼロ,TV,Visual novel,23.0,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",23 min per ep,PG-13 - Teens 13 or older,8.55,934170,12559,"Drama, Sci-Fi, Suspense"
7785,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,https://www.youtube-nocookie.com/embed/hzvU8t3TRio?enablejsapi=1&wmode=opaque&autoplay=1,Yojouhan Shinwa Taikei,四畳半神話大系,TV,Novel,11.0,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",22 min per ep,R - 17+ (violence & profanity),8.55,484125,18946,"Award Winning, Comedy, Mystery, Romance, Suspense"
437,https://myanimelist.net/anime/437/Perfect_Blue,https://www.youtube-nocookie.com/embed/kkP4h-gUWfo?enablejsapi=1&wmode=opaque&autoplay=1,Perfect Blue,パーフェクトブルー,Movie,Novel,1.0,Finished Airing,"Feb 28, 1998",1 hr 21 min,R+ - Mild Nudity,8.55,791172,21246,"Avant Garde, Award Winning, Drama, Horror, Suspense"
170,https://myanimelist.net/anime/170/Slam_Dunk,,Slam Dunk,スラムダンク,TV,Manga,101.0,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",23 min per ep,PG-13 - Teens 13 or older,8.55,330185,7945,Sports
40456,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,https://www.youtube-nocookie.com/embed/PrZ0O8Qp18s?enablejsapi=1&wmode=opaque&autoplay=1,Kimetsu no Yaiba Movie: Mugen Ressha-hen,劇場版 鬼滅の刃 無限列車編,Movie,Manga,1.0,Finished Airing,"Oct 16, 2020",1 hr 56 min,R - 17+ (violence & profanity),8.55,1719997,13464,"Action, Supernatural"
55791,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,https://www.youtube-nocookie.com/embed/QMuajQlx64c?enablejsapi=1&wmode=opaque&autoplay=1,[Oshi no Ko] 2nd Season,【推しの子】第2期,TV,Manga,13.0,Finished Airing,"Jul 3, 2024 to Oct 6, 2024",25 min per ep,PG-13 - Teens 13 or older,8.54,474084,5863,Drama
11741,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,https://www.youtube-nocookie.com/embed/A8D2db4PFN0?enablejsapi=1&wmode=opaque&autoplay=1,Fate/Zero 2nd Season,フェイト/ゼロ 2ndシーズン,TV,Light novel,12.0,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",24 min per ep,R - 17+ (violence & profanity),8.54,1175862,20636,"Action, Fantasy"
25777,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,https://www.youtube-nocookie.com/embed/zLaVP8IhIuc?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin Season 2,進撃の巨人 Season2,TV,Manga,12.0,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",24 min per ep,R - 17+ (violence & profanity),8.53,2941397,22675,"Action, Drama, Suspense"
5300,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,https://www.youtube-nocookie.com/embed/mea4xITAo_4?enablejsapi=1&wmode=opaque&autoplay=1,Zoku Natsume Yuujinchou,続 夏目友人帳,TV,Manga,13.0,Finished Airing,"Jan 6, 2009 to Mar 31, 2009",24 min per ep,PG-13 - Teens 13 or older,8.53,263193,1499,"Slice of Life, Supernatural"
578,https://myanimelist.net/anime/578/Hotaru_no_Haka,https://www.youtube-nocookie.com/embed/4vPeTSRd580?enablejsapi=1&wmode=opaque&autoplay=1,Hotaru no Haka,火垂るの墓,Movie,Novel,1.0,Finished Airing,"Apr 16, 1988",1 hr 28 min,PG-13 - Teens 13 or older,8.53,744304,8933,Drama
