mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
50172,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://www.youtube-nocookie.com/embed/b1miJsAVYJA?enablejsapi=1&wmode=opaque&autoplay=1,Mob Psycho 100 III,モブサイコ100 III,TV,Web manga,12.0,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",23 min per ep,PG-13 - Teens 13 or older,8.71,817347,12087,"Action, Comedy, Supernatural"
47778,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://www.youtube-nocookie.com/embed/QwvWdnd2Ktg?enablejsapi=1&wmode=opaque&autoplay=1,Kimetsu no Yaiba: Yuukaku-hen,鬼滅の刃 遊郭編,TV,Manga,11.0,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",26 min per ep,R - 17+ (violence & profanity),8.71,1668844,25121,"Action, Supernatural"
55255,https://myanimelist.net/anime/55255/Alien_Stage,,Alien Stage,ALIEN STAGE (에일리언스테이지),Music,Music,12.0,Finished Airing,"Sep 7, 2022 to Jun 27, 2025",3 min per ep,R - 17+ (violence & profanity),8.7,12344,680,"Drama, Sci-Fi, Suspense"
53998,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,https://www.youtube-nocookie.com/embed/m_i2PinZ_X4?enablejsapi=1&wmode=opaque&autoplay=1,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH 千年血戦篇-訣別譚-,TV,Manga,13.0,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",24 min per ep,R - 17+ (violence & profanity),8.7,382816,4930,"Action, Adventure, Supernatural"
52215,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,https://www.youtube-nocookie.com/embed/Aju1yusWVKo?enablejsapi=1&wmode=opaque&autoplay=1,Chi. Chikyuu no Undou ni Tsuite,チ。―地球の運動について―,TV,Manga,25.0,Finished Airing,"Oct 5, 2024 to Mar 15, 2025",25 min per ep,R - 17+ (violence & profanity),8.7,247012,5758,Drama
33095,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://www.youtube-nocookie.com/embed/wxFCi-ybQ5k?enablejsapi=1&wmode=opaque&autoplay=1,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,昭和元禄落語心中～助六再び篇～,TV,Manga,12.0,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",24 min per ep,PG-13 - Teens 13 or older,8.7,199151,3231,Drama
33352,https://myanimelist.net/anime/33352/Violet_Evergarden,https://www.youtube-nocookie.com/embed/g5xWqjFglsk?enablejsapi=1&wmode=opaque&autoplay=1,Violet Evergarden,ヴァイオレット・エヴァーガーデン,TV,Light novel,13.0,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",24 min per ep,PG-13 - Teens 13 or older,8.69,1942505,67305,Drama
44,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,Manga,4.0,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",29 min per ep,R - 17+ (violence & profanity),8.69,289459,6413,"Action, Drama, Romance"
21939,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://www.youtube-nocookie.com/embed/CXhPRWY1L0E?enablejsapi=1&wmode=opaque&autoplay=1,Mushishi Zoku Shou,蟲師 続章,TV,Manga,10.0,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",24 min per ep,PG-13 - Teens 13 or older,8.68,321182,1635,"Adventure, Mystery, Slice of Life, Supernatural"
245,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,TV,Manga,43.0,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",25 min per ep,R - 17+ (violence & profanity),8.68,897371,28185,Comedy
40434,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,https://www.youtube-nocookie.com/embed/YsA1hKfRqtQ?enablejsapi=1&wmode=opaque&autoplay=1,Mo Dao Zu Shi: Wanjie Pian,魔道祖师 完结篇,ONA,Web novel,12.0,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",24 min per ep,R - 17+ (violence & profanity),8.68,93820,1711,"Action, Adventure, Drama, Fantasy, Mystery"
