mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,year,popularity_score
37491,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,https://www.youtube-nocookie.com/embed/E2rzD37MCSg?enablejsapi=1&wmode=opaque&autoplay=1,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,銀魂. 銀ノ魂篇 後半戦,TV,Manga,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",24 min per ep,PG-13 - Teens 13 or older,8.88,220574,1084,"Action, Comedy, Sci-Fi",2018,195.86971200000002
54492,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,https://www.youtube-nocookie.com/embed/hkflaNu6yAQ?enablejsapi=1&wmode=opaque&autoplay=1,Kusuriya no Hitorigoto,薬屋のひとりごと,TV,Light novel,24,Finished Airing,"Oct 22, 2023 to Mar 24, 2024",22 min per ep,PG-13 - Teens 13 or older,8.86,743756,24347,"Drama, Mystery",2023,658.967816
51535,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,https://www.youtube-nocookie.com/embed/E7WytLM2KvY?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,進撃の巨人 The Final Season完結編,TV Special,Manga,2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",1 hr 12 min per ep,R - 17+ (violence & profanity),8.86,812729,16929,"Action, Drama, Suspense",2023,720.077894
35247,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://www.youtube-nocookie.com/embed/7WdyIcDlK2o?enablejsapi=1&wmode=opaque&autoplay=1,Owarimonogatari 2nd Season,終物語,TV Special,Light novel,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",22 min per ep,R - 17+ (violence & profanity),8.86,428748,8997,"Comedy, Mystery, Supernatural",2017,379.870728
59571,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,https://www.youtube-nocookie.com/embed/PuE1uRbpkTk?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,劇場版 進撃の巨人 完結編 THE LAST ATTACK,Movie,Manga,1,Finished Airing,"Nov 8, 2024",2 hr 24 min,R - 17+ (violence & profanity),8.84,66568,489,"Action, Drama, Suspense",2024,58.846112
37987,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://www.youtube-nocookie.com/embed/NSIzsFOfd8M?enablejsapi=1&wmode=opaque&autoplay=1,Violet Evergarden Movie,劇場版 ヴァイオレット・エヴァーガーデン,Movie,Light novel,1,Finished Airing,"Sep 18, 2020",2 hr 20 min,PG-13 - Teens 13 or older,8.84,699969,9509,"Award Winning, Drama",2020,618.7725959999999
40682,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://www.youtube-nocookie.com/embed/CasaH4vvYEw?enablejsapi=1&wmode=opaque&autoplay=1,Kingdom 3rd Season,キングダム 第3シリーズ,TV,Manga,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",25 min per ep,R - 17+ (violence & profanity),8.83,125911,2557,Action,2020,111.17941300000001
32281,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://www.youtube-nocookie.com/embed/3KR8_igDs1Y?enablejsapi=1&wmode=opaque&autoplay=1,Kimi no Na wa.,君の名は。,Movie,Original,1,Finished Airing,"Aug 26, 2016",1 hr 46 min,PG-13 - Teens 13 or older,8.83,2955191,94410,"Award Winning, Drama",2016,2609.433653
49387,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://www.youtube-nocookie.com/embed/jBetoIlnDIM?enablejsapi=1&wmode=opaque&autoplay=1,Vinland Saga Season 2,ヴィンランド・サガ SEASON2,TV,Manga,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",25 min per ep,R - 17+ (violence & profanity),8.82,795412,19187,"Action, Adventure, Drama",2023,701.553384
36838,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,https://www.youtube-nocookie.com/embed/vcb-D3FlaCg?enablejsapi=1&wmode=opaque&autoplay=1,Gintama. Shirogane no Tamashii-hen,銀魂. 銀ノ魂篇,TV,Manga,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",24 min per ep,PG-13 - Teens 13 or older,8.81,232914,1218,"Action, Comedy, Sci-Fi",2018,205.197234
60489,https://myanimelist.net/anime/60489/Takopii_no_Genzai,https://www.youtube-nocookie.com/embed/SUhYB0W7gM0?enablejsapi=1&wmode=opaque&autoplay=1,Takopii no Genzai,タコピーの原罪,ONA,Manga,6,Finished Airing,"Jun 28, 2025 to Aug 2, 2025",23 min per ep,R - 17+ (violence & profanity),8.8,243208,5135,"Drama, Sci-Fi",2025,214.02304
37510,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://www.youtube-nocookie.com/embed/Pr43Sayk37s?enablejsapi=1&wmode=opaque&autoplay=1,Mob Psycho 100 II,モブサイコ100 II,TV,Web manga,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",24 min per ep,PG-13 - Teens 13 or older,8.78,1679581,33553,"Action, Comedy, Supernatural",2019,1474.672118
31758,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://www.youtube-nocookie.com/embed/4nTLr6Uf9Ug?enablejsapi=1&wmode=opaque&autoplay=1,Kizumonogatari III: Reiketsu-hen,傷物語〈Ⅲ冷血篇〉,Movie,Light novel,1,Finished Airing,"Jan 6, 2017",1 hr 22 min,R - 17+ (violence & profanity),8.78,501162,8017,"Action, Mystery, Supernatural",2017,440.02023599999995
40028,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://www.youtube-nocookie.com/embed/SlNpRThS9t8?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin: The Final Season,進撃の巨人 The Final Season,TV,Manga,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",23 min per ep,R - 17+ (violence & profanity),8.78,2214993,53555,"Action, Drama, Suspense",2020,1944.7638539999998
263,https://myanimelist.net/anime/263/Hajime_no_Ippo,,Hajime no Ippo,はじめの一歩 THE FIGHTING!,TV,Manga,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",23 min per ep,PG-13 - Teens 13 or older,8.78,670220,24514,Sports,2000,588.45316
32935,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://www.youtube-nocookie.com/embed/kJfU5boNUIE?enablejsapi=1&wmode=opaque&autoplay=1,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,TV,Manga,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",24 min per ep,PG-13 - Teens 13 or older,8.77,1299320,15896,Sports,2016,1139.50364
2921,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,,Ashita no Joe 2,あしたのジョー２,TV,Manga,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",24 min per ep,PG-13 - Teens 13 or older,8.77,64230,3191,"Drama, Sports",1980,56.32971
37521,https://myanimelist.net/anime/37521/Vinland_Saga,https://www.youtube-nocookie.com/embed/f8JrZ7Q_p-8?enablejsapi=1&wmode=opaque&autoplay=1,Vinland Saga,ヴィンランド・サガ,TV,Manga,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",24 min per ep,R - 17+ (violence & profanity),8.77,1741335,54815,"Action, Adventure, Drama",2019,1527.150795
199,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://www.youtube-nocookie.com/embed/ByXuk9QqQkk?enablejsapi=1&wmode=opaque&autoplay=1,Sen to Chihiro no Kamikakushi,千と千尋の神隠し,Movie,Original,1,Finished Airing,"Jul 20, 2001",2 hr 4 min,PG - Children,8.77,1986085,34658,"Adventure, Award Winning, Fantasy",2001,1741.796545
48583,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://www.youtube-nocookie.com/embed/EIVVnLlhzr0?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin: The Final Season Part 2,進撃の巨人 The Final Season Part 2,TV,Manga,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",23 min per ep,R - 17+ (violence & profanity),8.77,1493332,31800,"Action, Drama, Suspense",2022,1309.652164
17074,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://www.youtube-nocookie.com/embed/YrAdRp69BBY?enablejsapi=1&wmode=opaque&autoplay=1,Monogatari Series: Second Season,〈物語〉シリーズ セカンドシーズン,TV,Light novel,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",25 min per ep,R - 17+ (violence & profanity),8.76,708069,24141,"Comedy, Mystery, Romance, Supernatural",2013,620.2684439999999
1,https://myanimelist.net/anime/1/Cowboy_Bebop,https://www.youtube-nocookie.com/embed/gY5nDXOtv_o?enablejsapi=1&wmode=opaque&autoplay=1,Cowboy Bebop,カウボーイビバップ,TV,Original,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",24 min per ep,R - 17+ (violence & profanity),8.75,2008852,87952,"Action, Award Winning, Sci-Fi",1998,1757.7455
