mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,season,year,genres
34389,https://myanimelist.net/anime/34389/Koro-sensei_Quest,https://www.youtube-nocookie.com/embed/PeqLip6Wlbs?enablejsapi=1&wmode=opaque&autoplay=1,Koro-sensei Quest!,殺せんせーQ[クエスト]!,ONA,Manga,12,Finished Airing,"Dec 23, 2016 to Mar 10, 2017",10 min per ep,PG-13 - Teens 13 or older,7.02,56018,56,,,"Comedy, "
33031,https://myanimelist.net/anime/33031/Shakunetsu_no_Takkyuu_Musume,https://www.youtube-nocookie.com/embed/hioHlEVsUpw?enablejsapi=1&wmode=opaque&autoplay=1,Shakunetsu no Takkyuu Musume,灼熱の卓球娘,TV,Web manga,12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016",24 min per ep,PG-13 - Teens 13 or older,7.05,47550,144,fall,2016,"Sports, "
33392,https://myanimelist.net/anime/33392/Gakuen_Handsome,https://www.youtube-nocookie.com/embed/J2LnSgxZt3w?enablejsapi=1&wmode=opaque&autoplay=1,Gakuen Handsome,学園ハンサム,TV,Game,12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016",3 min per ep,PG-13 - Teens 13 or older,6.77,47518,345,fall,2016,"Boys Love, Comedy, "
34481,https://myanimelist.net/anime/34481/Getsuyoubi_no_Tawawa_Specials,,Getsuyoubi no Tawawa Specials,月曜日のたわわ 特典,Special,Other,2,Finished Airing,"Dec 29, 2016",5 min per ep,PG-13 - Teens 13 or older,6.55,46689,35,,,"Slice of Life, Ecchi, "
33950,https://myanimelist.net/anime/33950/Black_Clover__Jump_Festa_2016_Special,https://www.youtube-nocookie.com/embed/raeEGnX3ReA?enablejsapi=1&wmode=opaque&autoplay=1,Black Clover: Jump Festa 2016 Special,ブラッククローバー,OVA,Manga,1,Finished Airing,"Nov 27, 2016",27 min,PG-13 - Teens 13 or older,6.76,45693,127,,,"Action, Comedy, Fantasy, "
31178,https://myanimelist.net/anime/31178/Uta_no☆Prince-sama♪_Maji_Love_Legend_Star,https://www.youtube-nocookie.com/embed/DD6Uld3RSqE?enablejsapi=1&wmode=opaque&autoplay=1,Uta no☆Prince-sama♪ Maji Love Legend Star,うたの☆プリンスさまっ♪マジLOVE レジェンドスター,TV,Visual novel,13,Finished Airing,"Oct 2, 2016 to Dec 25, 2016",24 min per ep,PG-13 - Teens 13 or older,7.14,44222,221,fall,2016,"Comedy, Romance, "
31418,https://myanimelist.net/anime/31418/KanColle_Movie,https://www.youtube-nocookie.com/embed/OCzk6_6xgz0?enablejsapi=1&wmode=opaque&autoplay=1,KanColle Movie,劇場版 艦これ,Movie,Game,1,Finished Airing,"Nov 26, 2016",1 hr 32 min,PG-13 - Teens 13 or older,7.47,42673,179,,,"Action, Drama, Sci-Fi, "
32870,https://myanimelist.net/anime/32870/Kuroko_no_Basket_Movie_2__Winter_Cup_-_Namida_no_Saki_e,https://www.youtube-nocookie.com/embed/4cVnQsy4YBk?enablejsapi=1&wmode=opaque&autoplay=1,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,劇場版「黒子のバスケ」ウインターカップ総集編～涙の先へ～,Movie,Manga,1,Finished Airing,"Oct 8, 2016",1 hr 27 min,PG-13 - Teens 13 or older,7.76,42035,30,,,"Sports, "
32555,https://myanimelist.net/anime/32555/Stella_no_Mahou,https://www.youtube-nocookie.com/embed/fsBbSvNirdk?enablejsapi=1&wmode=opaque&autoplay=1,Stella no Mahou,ステラのまほう,TV,4-koma manga,12,Finished Airing,"Oct 3, 2016 to Dec 19, 2016",23 min per ep,PG-13 - Teens 13 or older,6.85,41992,64,fall,2016,"Comedy, "
32587,https://myanimelist.net/anime/32587/Shoujo_Ramune,,Shoujo Ramune,小女ラムネ,OVA,Visual novel,,Currently Airing,"Oct 7, 2016 to ?",19 min,Rx - Hentai,6.78,39759,653,,,"Hentai, "
