mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
431,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,https://www.youtube-nocookie.com/embed/ARCQf2CEr8k?enablejsapi=1&wmode=opaque&autoplay=1,Howl no Ugoku Shiro,ハウルの動く城,Movie,Novel,1,Finished Airing,"Nov 20, 2004",1 hr 59 min,G - All Ages,8.67,1452153,31171,"Adventure, Award Winning, Drama, Fantasy, Romance",20.11.2004
433,https://myanimelist.net/anime/433/Kumo_no_Mukou_Yakusoku_no_Basho,https://www.youtube-nocookie.com/embed/OCO-csVHouo?enablejsapi=1&wmode=opaque&autoplay=1,"Kumo no Mukou, Yakusoku no Basho",雲のむこう、約束の場所,Movie,Original,1,Finished Airing,"Nov 20, 2004",1 hr 30 min,PG-13 - Teens 13 or older,7.41,228863,743,"Award Winning, Drama, Romance, Sci-Fi",20.11.2004
437,https://myanimelist.net/anime/437/Perfect_Blue,https://www.youtube-nocookie.com/embed/kkP4h-gUWfo?enablejsapi=1&wmode=opaque&autoplay=1,Perfect Blue,パーフェクトブルー,Movie,Novel,1,Finished Airing,"Feb 28, 1998",1 hr 21 min,R+ - Mild Nudity,8.55,790175,21216,"Avant Garde, Award Winning, Drama, Horror, Suspense",28.02.1998
441,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku,,Shoujo Kakumei Utena: Adolescence Mokushiroku,少女革命ウテナ　アドゥレセンス黙示録,Movie,Original,1,Finished Airing,"Aug 14, 1999",1 hr 25 min,R+ - Mild Nudity,7.68,59363,733,"Avant Garde, Drama, Girls Love",14.08.1999
442,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Ninpouchou_Dattebayo,,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!,劇場版　NARUTO　大活劇！雪姫忍法帖だってばよ!!,Movie,Manga,1,Finished Airing,"Aug 21, 2004",1 hr 22 min,PG-13 - Teens 13 or older,7.12,314889,325,"Action, Adventure, Fantasy",21.08.2004
449,https://myanimelist.net/anime/449/InuYasha_Movie_4__Guren_no_Houraijima,https://www.youtube-nocookie.com/embed/SpEjy44luvk?enablejsapi=1&wmode=opaque&autoplay=1,InuYasha Movie 4: Guren no Houraijima,犬夜叉 紅蓮の蓬莱島,Movie,Manga,1,Finished Airing,"Dec 23, 2004",1 hr 27 min,PG-13 - Teens 13 or older,7.55,98315,166,"Action, Adventure, Fantasy, Romance",23.12.2004
450,https://myanimelist.net/anime/450/InuYasha_Movie_2__Kagami_no_Naka_no_Mugenjou,https://www.youtube-nocookie.com/embed/BZiXEbZ9OQg?enablejsapi=1&wmode=opaque&autoplay=1,InuYasha Movie 2: Kagami no Naka no Mugenjou,犬夜叉 鏡の中の夢幻城,Movie,Manga,1,Finished Airing,"Dec 21, 2002",1 hr 39 min,PG-13 - Teens 13 or older,7.67,110306,266,"Action, Adventure, Fantasy, Romance",21.12.2002
451,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken,,InuYasha Movie 3: Tenka Hadou no Ken,映画 犬夜叉 天下覇道の剣,Movie,Manga,1,Finished Airing,"Dec 20, 2003",1 hr 38 min,PG-13 - Teens 13 or older,7.8,118486,224,"Action, Adventure, Fantasy, Romance",20.12.2003
452,https://myanimelist.net/anime/452/InuYasha_Movie_1__Toki_wo_Koeru_Omoi,,InuYasha Movie 1: Toki wo Koeru Omoi,犬夜叉 時代を越える想い,Movie,Manga,1,Finished Airing,"Dec 22, 2001",1 hr 39 min,PG-13 - Teens 13 or older,7.5600000000000005,108614,186,"Action, Adventure, Fantasy, Romance",22.12.2001
459,https://myanimelist.net/anime/459/One_Piece_Movie_01,https://www.youtube-nocookie.com/embed/eEApDotghec?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 01,ONE PIECE,Movie,Manga,1,Finished Airing,"Mar 4, 2000",50 min,PG-13 - Teens 13 or older,7.09,150764,457,"Action, Adventure, Fantasy",04.03.2000
460,https://myanimelist.net/anime/460/One_Piece_Movie_02__Nejimaki-jima_no_Daibouken,https://www.youtube-nocookie.com/embed/wwumv_IcxJo?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 02: Nejimaki-jima no Daibouken,ワンピース ねじまき島の冒険,Movie,Manga,1,Finished Airing,"Mar 3, 2001",55 min,PG-13 - Teens 13 or older,7.08,109856,41,"Action, Adventure, Fantasy",03.03.2001
461,https://myanimelist.net/anime/461/One_Piece_Movie_03__Chinjuu-jima_no_Chopper_Oukoku,https://www.youtube-nocookie.com/embed/K65OpdS3Hsk?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,ワンピース 珍獣島のチョッパー王国,Movie,Manga,1,Finished Airing,"Mar 2, 2002",55 min,PG-13 - Teens 13 or older,6.82,94605,33,"Action, Adventure, Fantasy",02.03.2002
462,https://myanimelist.net/anime/462/One_Piece_Movie_04__Dead_End_no_Bouken,https://www.youtube-nocookie.com/embed/I4oOj_6kGYc?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 04: Dead End no Bouken,ワンピース デッドエンドの冒険,Movie,Manga,1,Finished Airing,"Mar 1, 2003",1 hr 35 min,PG-13 - Teens 13 or older,7.51,113722,74,"Action, Adventure, Fantasy",01.03.2003
463,https://myanimelist.net/anime/463/One_Piece_Movie_05__Norowareta_Seiken,https://www.youtube-nocookie.com/embed/1v66USnVnPs?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 05: Norowareta Seiken,ワンピース呪われた聖剣,Movie,Manga,1,Finished Airing,"Mar 6, 2004",1 hr 35 min,PG-13 - Teens 13 or older,7.09,91732,40,"Action, Adventure, Fantasy",06.03.2004
464,https://myanimelist.net/anime/464/One_Piece_Movie_06__Omatsuri_Danshaku_to_Himitsu_no_Shima,https://www.youtube-nocookie.com/embed/NVt5Gsy9VKU?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,ワンピース オマツリ男爵と秘密の島,Movie,Manga,1,Finished Airing,"Mar 5, 2005",1 hr 31 min,PG-13 - Teens 13 or older,7.78,118756,532,"Action, Adventure, Drama, Fantasy",05.03.2005
465,https://myanimelist.net/anime/465/One_Piece_Movie_07__Karakuri-jou_no_Mecha_Kyohei,https://www.youtube-nocookie.com/embed/P7soCjGOP14?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Movie 07: Karakuri-jou no Mecha Kyohei,ワンピース THE MOVIE カラクリ城のメカ巨兵,Movie,Manga,1,Finished Airing,"Mar 4, 2006",1 hr 34 min,PG-13 - Teens 13 or older,7.16,83175,21,"Action, Adventure, Fantasy",04.03.2006
468,https://myanimelist.net/anime/468/Innocence,https://www.youtube-nocookie.com/embed/0XkATpPvqEA?enablejsapi=1&wmode=opaque&autoplay=1,Innocence,イノセンス,Movie,Manga,1,Finished Airing,"Mar 6, 2004",1 hr 39 min,R - 17+ (violence & profanity),7.78,173993,1145,"Award Winning, Mystery, Sci-Fi, Suspense",06.03.2004
484,https://myanimelist.net/anime/484/Gensoumaden_Saiyuuki_Movie__Requiem_-_Erabarezaru_Mono_e_no_Chinkonka,,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,劇場版　幻想魔伝最遊記　Requiem　選ばれざる者への鎮魂歌,Movie,Manga,1,Finished Airing,"Aug 18, 2001",1 hr 34 min,PG-13 - Teens 13 or older,7.3,10427,20,"Adventure, Supernatural",18.08.2001
492,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix,,Armitage III: Dual-Matrix,アミテージ・ザ・サード DUAL-MATRIX,Movie,Original,1,Finished Airing,"Jun 25, 2002",1 hr 30 min,R+ - Mild Nudity,6.79,20352,24,Sci-Fi,25.06.2002
