mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
39547,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,https://www.youtube-nocookie.com/embed/UsJUP98qr1M?enablejsapi=1&wmode=opaque&autoplay=1,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,やはり俺の青春ラブコメはまちがっている。完,TV,Light novel,12.0,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",24 min per ep,PG-13 - Teens 13 or older,8.35,798905,14764,"Comedy, Romance",
39808,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop,https://www.youtube-nocookie.com/embed/57Fk9kOTvXE?enablejsapi=1&wmode=opaque&autoplay=1,Non Non Biyori Nonstop,のんのんびより のんすとっぷ,TV,Manga,12.0,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",24 min per ep,PG-13 - Teens 13 or older,8.35,136218,978,Slice of Life,
41025,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,https://www.youtube-nocookie.com/embed/YOn779f6lwI?enablejsapi=1&wmode=opaque&autoplay=1,Fumetsu no Anata e,不滅のあなたへ,TV,Manga,20.0,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",25 min per ep,R - 17+ (violence & profanity),8.35,963589,15847,"Adventure, Drama, Supernatural",
2251,https://myanimelist.net/anime/2251/Baccano,https://www.youtube-nocookie.com/embed/W5bn87yvh_g?enablejsapi=1&wmode=opaque&autoplay=1,Baccano!,バッカーノ！,TV,Light novel,13.0,Finished Airing,"Jul 27, 2007 to Nov 2, 2007",24 min per ep,R - 17+ (violence & profanity),8.35,947061,23664,"Action, Mystery, Supernatural",
338,https://myanimelist.net/anime/338/Versailles_no_Bara,https://www.youtube-nocookie.com/embed/XMRtUOOHT_o?enablejsapi=1&wmode=opaque&autoplay=1,Versailles no Bara,ベルサイユのばら,TV,Manga,40.0,Finished Airing,"Oct 10, 1979 to Sep 3, 1980",24 min per ep,PG-13 - Teens 13 or older,8.35,111193,3332,"Drama, Romance",
37095,https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou,https://www.youtube-nocookie.com/embed/T6TqdAkREJk?enablejsapi=1&wmode=opaque&autoplay=1,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","ヴァイオレット・エヴァーガーデンきっと""愛""を知る日が来るのだろう",Special,Light novel,1.0,Finished Airing,"Jul 4, 2018",34 min,PG-13 - Teens 13 or older,8.35,362279,970,Drama,04.07.2018
49926,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,,Kimetsu no Yaiba: Mugen Ressha-hen,鬼滅の刃 無限列車編,TV,Manga,7.0,Finished Airing,"Oct 10, 2021 to Nov 28, 2021",24 min per ep,R - 17+ (violence & profanity),8.35,926979,4621,"Action, Supernatural",
39551,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,https://www.youtube-nocookie.com/embed/Lk3fJsIOnKw?enablejsapi=1&wmode=opaque&autoplay=1,Tensei shitara Slime Datta Ken 2nd Season,転生したらスライムだった件,TV,Manga,12.0,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",23 min per ep,PG-13 - Teens 13 or older,8.35,1076449,10939,"Action, Comedy, Fantasy",
37822,https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season,,Douluo Dalu 2nd Season,斗罗大陆,ONA,Novel,237.0,Finished Airing,"Dec 1, 2018 to Jun 10, 2023",20 min per ep,PG-13 - Teens 13 or older,8.35,23462,493,"Action, Adventure, Fantasy, Supernatural",
2402,https://myanimelist.net/anime/2402/Ashita_no_Joe,,Ashita no Joe,あしたのジョー,TV,Manga,79.0,Finished Airing,"Apr 1, 1970 to Sep 29, 1971",25 min per ep,PG-13 - Teens 13 or older,8.34,107240,2331,"Drama, Sports",
