mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
1210,https://myanimelist.net/anime/1210/NHK_ni_Youkoso,https://www.youtube-nocookie.com/embed/QYLsjJ8RThQ?enablejsapi=1&wmode=opaque&autoplay=1,NHK ni Youkoso!,N・H・Kにようこそ！,TV,Novel,24.0,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",23 min per ep,R+ - Mild Nudity,8.31,810685,29110,"Comedy, Drama, Romance",
48653,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru,,Yoru ni Kakeru,夜に駆ける,Music,Other,1.0,Finished Airing,"Nov 16, 2019",4 min,PG-13 - Teens 13 or older,8.31,19435,91,,16.11.2019
56752,https://myanimelist.net/anime/56752/Shiguang_Dailiren__Yingdu_Pian,https://www.youtube-nocookie.com/embed/sUs5cPjPF-4?enablejsapi=1&wmode=opaque&autoplay=1,Shiguang Dailiren: Yingdu Pian,時光代理人 英都篇,ONA,Original,6.0,Finished Airing,"Dec 27, 2024 to Jan 31, 2025",32 min per ep,PG-13 - Teens 13 or older,8.3,60086,468,Drama,
5341,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,https://www.youtube-nocookie.com/embed/mnCXgfrjn1k?enablejsapi=1&wmode=opaque&autoplay=1,Ookami to Koushinryou II,狼と香辛料II,TV,Light novel,12.0,Finished Airing,"Jul 9, 2009 to Sep 24, 2009",23 min per ep,PG-13 - Teens 13 or older,8.3,515373,4308,"Adventure, Drama, Romance, Supernatural",
40211,https://myanimelist.net/anime/40211/Luo_Xiaohei_Zhanji_Movie,https://www.youtube-nocookie.com/embed/wkmD3lLIjq4?enablejsapi=1&wmode=opaque&autoplay=1,Luo Xiaohei Zhanji (Movie),罗小黑战记,Movie,Original,1.0,Finished Airing,"Sep 7, 2019",1 hr 41 min,G - All Ages,8.3,33818,439,"Adventure, Drama, Fantasy",07.09.2019
4081,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,https://www.youtube-nocookie.com/embed/mea4xITAo_4?enablejsapi=1&wmode=opaque&autoplay=1,Natsume Yuujinchou,夏目友人帳,TV,Manga,13.0,Finished Airing,"Jul 8, 2008 to Sep 30, 2008",24 min per ep,PG-13 - Teens 13 or older,8.3,578079,16636,"Slice of Life, Supernatural",
30230,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,,Diamond no Ace: Second Season,ダイヤのA[エース]～Second Season～,TV,Manga,51.0,Finished Airing,"Apr 6, 2015 to Mar 28, 2016",24 min per ep,PG-13 - Teens 13 or older,8.3,148017,1116,Sports,
3784,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,https://www.youtube-nocookie.com/embed/ncZ9Vd4YYFk?enablejsapi=1&wmode=opaque&autoplay=1,Evangelion Movie 2: Ha,ヱヴァンゲリヲン新劇場版:破,Movie,Original,1.0,Finished Airing,"Jul 27, 2009",1 hr 52 min,R+ - Mild Nudity,8.3,580408,3554,"Drama, Sci-Fi, Suspense",27.07.2009
31043,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,https://www.youtube-nocookie.com/embed/DwmxEAWjTQQ?enablejsapi=1&wmode=opaque&autoplay=1,Boku dake ga Inai Machi,僕だけがいない街,TV,Manga,12.0,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",23 min per ep,R - 17+ (violence & profanity),8.3,2242079,50587,"Mystery, Suspense",
41487,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,https://www.youtube-nocookie.com/embed/nle-73CcG1k?enablejsapi=1&wmode=opaque&autoplay=1,Tensei shitara Slime Datta Ken 2nd Season Part 2,転生したらスライムだった件,TV,Manga,12.0,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",23 min per ep,PG-13 - Teens 13 or older,8.3,875850,11022,"Action, Comedy, Fantasy",
57067,https://myanimelist.net/anime/57067/Fanren_Xiu_Xian_Chuan__Xinghai_Feichi,,Fanren Xiu Xian Chuan: Xinghai Feichi,凡人修仙传 星海飞驰,ONA,Web novel,48.0,Finished Airing,"Nov 25, 2023 to Oct 19, 2024",20 min per ep,PG-13 - Teens 13 or older,8.29,3372,35,"Action, Adventure, Fantasy",
54870,https://myanimelist.net/anime/54870/Seishun_Buta_Yarou_wa_Randoseru_Girl_no_Yume_wo_Minai,https://www.youtube-nocookie.com/embed/hO304LM67Ow?enablejsapi=1&wmode=opaque&autoplay=1,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,青春ブタ野郎はランドセルガールの夢を見ない,Movie,Light novel,1.0,Finished Airing,"Dec 1, 2023",1 hr 14 min,PG-13 - Teens 13 or older,8.29,161070,621,"Drama, Romance, Supernatural",01.12.2023
54757,https://myanimelist.net/anime/54757/3-nen_Z-gumi_Ginpachi-sensei,https://www.youtube-nocookie.com/embed/UXf-WAfTiJw?enablejsapi=1&wmode=opaque&autoplay=1,3-nen Z-gumi Ginpachi-sensei,銀魂 3年Z組銀八先生,TV,Light novel,12.0,Currently Airing,"Oct 7, 2025 to ?",24 min per ep,PG-13 - Teens 13 or older,8.29,37325,211,Comedy,
