mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
3276,https://myanimelist.net/anime/3276/Kinnikuman__Gyakushuu_Uchuu_Kakure_Choujin,,Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,キン肉マン 逆襲！宇宙かくれ超人,Movie,Manga,1,Finished Airing,"Jul 13, 1985",38 min,PG-13 - Teens 13 or older,6.04,1523,1,"Comedy, Sports",13.07.1985
3277,https://myanimelist.net/anime/3277/Kinnikuman__Haresugata_Seigi_Choujin,,Kinnikuman: Haresugata! Seigi Choujin,キン肉マン 晴れ姿！正義超人,Movie,Manga,1,Finished Airing,"Dec 21, 1985",1 hr,PG-13 - Teens 13 or older,5.96,1419,0,"Comedy, Sports",21.12.1985
3278,https://myanimelist.net/anime/3278/Kinnikuman__New_York_Kiki_Ippatsu,,Kinnikuman: New York Kiki Ippatsu!,キン肉マン ニューヨーク危機一髪！,Movie,Manga,1,Finished Airing,"Mar 15, 1986",45 min,PG-13 - Teens 13 or older,6.16,1488,0,"Comedy, Sports",15.03.1986
3279,https://myanimelist.net/anime/3279/Kinnikuman__Seigi_Choujin_vs_Senshi_Choujin,,Kinnikuman: Seigi Choujin vs. Senshi Choujin,キン肉マン 正義超人ＶＳ戦士超人,Movie,Manga,1,Finished Airing,"Dec 20, 1986",50 min,PG-13 - Teens 13 or older,6.1,1353,1,"Comedy, Sports",20.12.1986
3326,https://myanimelist.net/anime/3326/Inaka_Isha,,Inaka Isha,カフカ 田舎医者,Movie,Other,1,Finished Airing,"Oct 2, 2007",20 min,PG-13 - Teens 13 or older,6.66,25084,73,"Avant Garde, Award Winning, Drama",02.10.2007
3362,https://myanimelist.net/anime/3362/Oshare_Majo_Love_and_Berry__Shiawase_no_Mahou,,Oshare Majo Love and Berry: Shiawase no Mahou,オシャレ魔女 ラブ and ベリー しあわせのまほう,Movie,Game,1,Finished Airing,"Mar 21, 2007",51 min,PG - Children,5.51,1218,2,,21.03.2007
3367,https://myanimelist.net/anime/3367/Furusato_Japan,https://www.youtube-nocookie.com/embed/HJPceIwX1Cg?enablejsapi=1&wmode=opaque&autoplay=1,Furusato Japan,ふるさとJAPAN,Movie,Original,1,Finished Airing,"Apr 7, 2007",1 hr 36 min,G - All Ages,6.69,2994,2,Drama,07.04.2007
3446,https://myanimelist.net/anime/3446/Biohazard__Degeneration,,Biohazard: Degeneration,バイオハザード ディジェネレーション,Movie,Game,1,Finished Airing,"Oct 18, 2008",1 hr 36 min,R - 17+ (violence & profanity),6.92,38594,48,"Action, Horror, Sci-Fi",18.10.2008
3463,https://myanimelist.net/anime/3463/ALICE,,A.LI.CE,Ａ・ＬＩ・ＣＥ,Movie,Original,1,Finished Airing,"Feb 5, 2000",1 hr 25 min,PG-13 - Teens 13 or older,4.66,2676,4,Sci-Fi,05.02.2000
3465,https://myanimelist.net/anime/3465/Nagasaki_1945__Angelus_no_Kane,,Nagasaki 1945: Angelus no Kane,NAGASAKI・1945 アンゼラスの鐘,Movie,Book,1,Finished Airing,"Sep 9, 2005",1 hr 22 min,PG-13 - Teens 13 or older,6.71,1684,1,Drama,09.09.2005
3472,https://myanimelist.net/anime/3472/Tenrankai_no_E,,Tenrankai no E,展覧会の絵,Movie,Original,1,Finished Airing,"Nov 11, 1966",32 min,PG-13 - Teens 13 or older,6.09,2761,4,"Award Winning, Comedy",11.11.1966
3473,https://myanimelist.net/anime/3473/Souseiki,,Souseiki,創世記,Movie,Unknown,1,Finished Airing,"Oct 1, 1968",4 min,PG - Children,5.39,2067,1,,01.10.1968
3475,https://myanimelist.net/anime/3475/Muramasa,,Muramasa,村正,Movie,Original,1,Finished Airing,"Aug 21, 1987",8 min,PG-13 - Teens 13 or older,6.14,6221,5,Horror,21.08.1987
3481,https://myanimelist.net/anime/3481/Grendizer__Getter_Robo_G_-_Great_Mazinger_Kessen_Daikaijuu,https://www.youtube-nocookie.com/embed/02heAr-Jics?enablejsapi=1&wmode=opaque&autoplay=1,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,グレンダイザー・ゲッターロボＧ・グレートマジンガー 決戦！大海獣,Movie,Manga,1,Finished Airing,"Jul 18, 1976",31 min,PG-13 - Teens 13 or older,6.44,3175,2,Sci-Fi,18.07.1976
3488,https://myanimelist.net/anime/3488/Genji_Monogatari,,Genji Monogatari,源氏物語,Movie,Novel,1,Finished Airing,"Dec 19, 1987",1 hr 46 min,R+ - Mild Nudity,6.39,12717,47,"Drama, Romance",19.12.1987
3496,https://myanimelist.net/anime/3496/Ougon_no_Hou__El_Cantare_no_Rekishikan,,Ougon no Hou: El Cantare no Rekishikan,黄金の法　エル・カンターレの歴史観,Movie,Original,1,Finished Airing,"Oct 11, 2003",1 hr 51 min,PG-13 - Teens 13 or older,4.86,1214,2,Fantasy,11.10.2003
3508,https://myanimelist.net/anime/3508/Genius_Party,,Genius Party,ジーニアスパーティー,Movie,Original,7,Finished Airing,"Jul 7, 2007",14 min per ep,R+ - Mild Nudity,7.11,41120,78,"Avant Garde, Fantasy, Romance, Sci-Fi",07.07.2007
3522,https://myanimelist.net/anime/3522/Choujin_Locke,https://www.youtube-nocookie.com/embed/ROkbinO2rEQ?enablejsapi=1&wmode=opaque&autoplay=1,Choujin Locke,超人ロック,Movie,Manga,1,Finished Airing,"Mar 11, 1984",1 hr 59 min,R+ - Mild Nudity,6.35,4621,13,"Action, Sci-Fi",11.03.1984
3547,https://myanimelist.net/anime/3547/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo_The_Movie_2__UFO_Shuurai_Tornado_Daisakusen,,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen!!,こちら葛飾区亀有公園前派出所　ＴＨＥ　ＭＯＶＩＥ２　ＵＦＯ襲来！トルネード大作戦！！,Movie,Manga,1,Finished Airing,"Dec 20, 2003",1 hr 40 min,PG-13 - Teens 13 or older,6.7,1619,0,"Action, Comedy, Mystery",20.12.2003
